russian_word,english_translation,level
Жена - жены,wives,Stage 4
Помощь,help,Stage 4
Общий (распространенный),common,Stage 4
"Огонь, камин",fire,Stage 4
Широкий,broad,Stage 4
Багатый,rich,Stage 4
Бедный,poor,Stage 4
"История, расказ",story,Stage 4
Время ложиться спать,bedtime,Stage 4
Высказывать ,express,Stage 4
Мысль,thought,Stage 4
Неправильные глаголы,irregular verbs,Stage 4
Таким образом,so,Stage 4
"Изменять, менять",change,Stage 4
Speak,spoke,Stage 4
Come,came,Stage 4
Break ,broke,Stage 4
Wear,wore,Stage 4
Write,wrote,Stage 4
Get up,got up,Stage 4
Stand,stood,Stage 4
Shine,shone,Stage 4
Take,took,Stage 4
Tell,told,Stage 4
Drive,Drove ,Stage 4
Forget ,Forgot ,Stage 4
See,Saw,Stage 4
Sit,Sat,Stage 4
Eat,Ate,Stage 4
Give,Gave,Stage 4
Begin,Began,Stage 4
Drink,Drank,Stage 4
Sleep ,Slept,Stage 4
"Холм, возвышеность",Hill,Stage 4
"Кругом, недалеко",Around ,Stage 4
Смеяться,Laugh,Stage 4
Комедия,Comedy ,Stage 4
Враг,Enemy ,Stage 4
Великобритания,Britain ,Stage 4
Замок,Castle,Stage 4
Голодный,Hungry ,Stage 4
Шум,Noise ,Stage 4
Факт,Fact,Stage 4
Исторический,Historical,Stage 4
Математический,Mathematical,Stage 4
Географический,Geographical ,Stage 4
Ставать,Become,Stage 4
Получать,Obtain ,Stage 4
"Приносить, заезжать, заходить  за кем-то",Fetch,Stage 4
Доктор,Doctor ,Stage 4
Добраться до,Get to,Stage 4
"Добратьсяё, доходить ",Reach,Stage 4
"Бул, была, было",There was,Stage 4
Были,There were,Stage 4
Умирать,Die,Stage 4
Президент,President,Stage 4
Сильный,Strong ,Stage 4
Слабый,Weak,Stage 4
Физичиский,Physical ,Stage 4
Солдат,Soldier,Stage 4
Армия,Army,Stage 4
Зарабатывать деньги,Make money ,Stage 4
Форма,Uniform ,Stage 4
Строить,Build ,Stage 4
Наполнять,Fill,Stage 4
Содержать,Contain ,Stage 4
Исскуство,Art,Stage 4
"Артист, художник",Artist,Stage 4
"Ощущать, чувствовать",Feel,Stage 4
За много,Too much ,Stage 4
Середина,Middle ,Stage 4
"Центр, середина",Center ,Stage 4
Уверенный,Sure,Stage 4
Просьба,Request ,Stage 4
Не...не...,Neither nor ,Stage 4
"Готовий, желающий (что-то сделать)",Willing ,Stage 4
Фильм,Film,Stage 4
Произношение,Pronunciation ,Stage 4
Leave,left,Stage 4
Smell,smelt,Stage 4
Learn ,learnt,Stage 4
Send,sent,Stage 4
Know,knew,Stage 4
Hang,hung,Stage 4
Buy,bought,Stage 4
Shake,shook,Stage 4
Think ,thought,Stage 4
Read,read,Stage 4
Meet,met,Stage 4
Feel,felt,Stage 4
Hear,heard,Stage 4
Hold,held,Stage 4
Bring,brought,Stage 4
Go,went,Stage 4
Say,said,Stage 4
Teach,taught,Stage 4
Велосипед,bicycle,Stage 4
"Мотоцикл, мопед",motorbike,Stage 4
"Велосипед, мотоцикл, мопед",bike,Stage 4
"Ошибка, ошибаться",mistake,Stage 4
Слушать,listen,Stage 4
Слышать,hear,Stage 4
Новости/новость,news,Stage 4
Радио,radio ,Stage 4
Радиостанция,radio station,Stage 4
Все время,all the time,Stage 4
Больной,ill,Stage 4
Здоровый,well,Stage 4
Простуда,a cold,Stage 4
"Лекарство, медицина",medicine,Stage 4
Любимый,favourite,Stage 4
Жажда (желание пить),thirsty,Stage 4
Программа,programme,Stage 4
Продавать,sell,Stage 4
Супермаркет,supermarket,Stage 4
Много,Lots of ,Stage 4
"Вон (ити, отправить вон)",Away,Stage 4
Сказать,Tell,Stage 4
Бизнес,Business ,Stage 4
"Иноземный, заграничный",Foreign ,Stage 4
Дождливый,Rainy,Stage 4
Солнечный,Sunny ,Stage 4
Облачный,Cloudy ,Stage 4
Природа,Nature,Stage 4
Цена,Price ,Stage 4
Куст,Bush,Stage 4
"Стоящий, стоит, ценность ",Worth,Stage 4
Стоящий ,To be worth,Stage 4
"Стоит, ценность",Value ,Stage 4
"Тяжелый, очень, твердый",Hard ,Stage 4
Мягкий,Soft,Stage 4
Будущие время,Future tense,Stage 4
I,I will eat,Stage 4
You,You will eat,Stage 4
He,He will eat,Stage 4
She,She will eat,Stage 4
It,It will eat,Stage 4
We,We will eat,Stage 4
You,You will eat ,Stage 4
They,They will eat,Stage 4
I,I'll eat,Stage 4
You,You'll eat,Stage 4
He,He'll eat,Stage 4
She,She'll eat,Stage 4
It,It'll eat,Stage 4
We,We'll eat,Stage 4
You,You'll,Stage 4
They,They'll,Stage 4
Три месяца тому,In three months' time,Stage 4
Возражение в будущим времени,Won't,Stage 4
Оставаться,Stay,Stage 4
Вспомагательный глагол будущ.врем.,Shell,Stage 4
Предложение ,Suggestion ,Stage 4
"Публика, народ",Public ,Stage 4
Публично,In public ,Stage 4
Государственный праздник,Public holidays ,Stage 4
Показывать,Show,Stage 4
Убивать,Kill,Stage 4
Тигр,Tiger,Stage 4
Королева,Queen ,Stage 4
Руководитель,Head,Stage 4
Кровь,Blood ,Stage 4
Предлагать ,Offer,Stage 4
Компания ,Company ,Stage 4
В компании,In company ,Stage 4
Шоколад,Chocolate ,Stage 4
Шоколадные конфеты,Chocolates ,Stage 4
Жизнь,Live,Stage 4
Смерть,Death ,Stage 4
В прошлом,In the past ,Stage 4
"Предлагать, советывать",Suggest ,Stage 4
Тренироваться,Exercise ,Stage 4
Сегодня вечером,Tonight ,Stage 4
Уставший,Tired ,Stage 4
 Уставший от,Tired of ,Stage 4
"Повернуться, обернуться",Turn ,Stage 4
Оборачиваться,Turn over,Stage 4
Past of get,Got,Stage 4
До,Until ,Stage 4
До,Till,Stage 4
Опять,Again,Stage 4
Очень много,Too many ,Stage 4
Длительность,Duration ,Stage 4
Будет,There will be,Stage 4
Будет,There'll be,Stage 4
Газета,Newspaper ,Stage 4
Журнал,Magazine ,Stage 4
"Популярный, известный",Popular ,Stage 4
Продавать (прошед. время),Sold,Stage 4
Уголь,Coal,Stage 4
Решать,Decide,Stage 4
Меню,Menu ,Stage 4
Обяснять,Explain ,Stage 4
"Небеса, рай",Heaven ,Stage 4
Ад,Hell,Stage 4
Заказывать (наперед),Book,Stage 4
"Пробывать, пытался",Try ,Stage 4
Пытаться настойчиво,Try hard ,Stage 4
Возможный,Possible ,Stage 4
Невозможный,Impossible ,Stage 4
Тихий,Quiet,Stage 4
Шумный,Noisy ,Stage 4
"Растроенный, жалеющий",Sorry ,Stage 4
Удолетворенный,Pleased ,Stage 4
"Мне жаль, извените",Sorry ,Stage 4
Иметь (в прошед.времени),Had,Stage 4
Могти (в прошед.времени),Could ,Stage 4
Ребенок,Baby ,Stage 4
"Возможно, наверное",Perhaps ,Stage 4
"Возможно, наверное",Maybe ,Stage 4
Твой/ваш друг,A friend of your ,Stage 4
Сладкий,Sweet ,Stage 4
Сладости,Sweets,Stage 4
"Разговорный, усный",Spoken,Stage 4
Письменный,Written ,Stage 4
Произносить,spell,Stage 4
Общаться,communicate,Stage 4
"Легко, просто",easily,Stage 4
Не иметь (в прошед.времени),hadn’t,Stage 4
Практиковаться,practise,Stage 4
Практика,practice,Stage 4
Спорт,sport,Stage 4
Хотел бы,would like,Stage 4
"Визит, посещение",visit,Stage 4
Австралия,Australia,Stage 4
Использовать,Use,Stage 4
"Использование, польза",Use,Stage 4
Потому что,Therefore,Stage 4
"Звук, шум, звучание",Sound,Stage 4
Дорожное движение,Traffic,Stage 4
"Тихий, безшумный",Silent,Stage 4
"Достичь успехов, успех",Succeed,Stage 4
"Отмечать неудачи, провалиться",Fail,Stage 4
Экзамен,Examination,Stage 4
Здавать экзамен,Take an examination,Stage 4
"Успешно здавать (экзамен, тест)",Pass,Stage 4
"Должен, обязан",Have to,Stage 4
"Работник, рабочий",Worker,Stage 4
Начинающий,Beginner,Stage 4
"Тот, кто много спит",Sleeper,Stage 4
Писатель,Writer,Stage 4
Оратор,Speaker,Stage 4
"Надежда, надеяться",Hope ,Stage 4
Вера,Believe ,Stage 4
Планета,Planet ,Stage 4
Делать покупк,To the shopping ,Stage 4
Ходить по магазинах,Go shopping ,Stage 4
Список,List,Stage 4
"Улыбаться, улыбка",Smile ,Stage 4
Налог,Tax ,Stage 4
Кот,Cat,Stage 4
Собака,Dog,Stage 4
Результат,Result ,Stage 4
"Щасливый, удачный",Lucky ,Stage 4
Уничтожать,Destroy ,Stage 4
Документ,Document ,Stage 4
Буть (3 форма),Been,Stage 4
Шотландия,Scotland ,Stage 4
Преступление,Crime ,Stage 4
Виноватый,Guilty ,Stage 4
Невиновный,Innocent ,Stage 4
Противозаконный,Against the law ,Stage 4
Отпыт,Experience ,Stage 4
На протяжении,For,Stage 4
До теперешнего времени,Up to now ,Stage 4
За много,Too many ,Stage 4
За много,Too much ,Stage 4
Черезмерный,Excessive ,Stage 4
"Век, эпоха",Age,Stage 4
Жениться,Marry,Stage 4
Жениться,Get married ,Stage 4
"Средний, обычный",Average ,Stage 4
Толстый,Thick,Stage 4
Тонкий,Thin,Stage 4
Большой,Big,Stage 4
Маленький,Little ,Stage 4
Швейцария,Switzerland ,Stage 4
Женский кошелек,Purse,Stage 4
Кошелек,Wallet ,Stage 4
Обычно,Usually ,Stage 4
"Терять, потерять",Lose,Stage 4
Находить,Find,Stage 4
Полицейский,Policemen ,Stage 4
Буть злым,To be angry ,Stage 4
Рыба,Fish,Stage 4
Плавать,Swim,Stage 4
Пловець,Swimmer ,Stage 4
Бассейн,Swimming pool ,Stage 4
"Мечта,видеть сон; мечта, сон","Dream, dreamt-dreamt",Stage 4
Кошмар,Nightmare,Stage 4
Сад,Garden,Stage 4
Отказываться,Refuse,Stage 4
Отдельный,Separate ,Stage 4
"Чудесный, милый, красивый",Lovely ,Stage 4